-0.16387,0.99195,0.41408,0.94172,2.2248,2.0385,2.0116,1.7989,2.9382
1.511,2.4305,2.1876,2.646,1.0131,-0.053708,0.91422,1.8364,1.6815
-0.081996,0.94775,0.83072,0.62943,-0.50425,-0.65607,2.4027,1.6644,2.5417
2.352,1.0298,1.193,0.77741,0.32766,0.10689,2.8697,1.6268,2.4556
1.9814,0.5783,0.92467,0.55876,1.5038,0.69162,1.9191,1.599,2.2685
-1.0673,-1.0362,-0.98123,-0.83882,-1.0509,-0.97802,-0.6483,-0.98912,-1.0501
-0.1732,-0.19808,-0.15434,-0.19005,-0.33783,-0.39174,-1.8256,-2.2841,-1.085
-1.013,0.005184,-0.29226,-0.298,-1.8548,-2.3793,-0.70905,-0.52459,-1.8128
-0.11512,0.15455,-0.089158,-0.29817,-0.90279,-1.461,-0.95895,-0.63514,-1.9091
-0.39866,-1.3823,-1.125,-1.6563,-1.5531,-1.8646,-2.1689,-1.335,-1.2933
-1.8306,-2.0105,-2.0664,-2.1737,-1.1805,-1.4738,-2.2579,-2.6585,-1.4156
-0.63167,-0.41038,-0.32896,-0.87569,-1.4107,-1.4207,-1.7852,-2.0056,-1.5158
-0.10527,0.50493,0.64209,0.31572,0.52163,0.097609,-0.73193,-0.827,-1.6336
-0.066706,0.99962,0.69778,1.0314,-0.60711,-1.3467,-1.0493,-1.0059,-1.5649
-0.86435,-0.52042,-0.49993,-0.69522,-1.109,-2.2308,-1.6461,-2.4014,-2.4602
-1.7502,-1.1692,-1.1535,-1.1791,-1.9946,-2.7671,-1.5687,-1.8792,-2.6183
-1.7371,-1.2982,-1.3105,-1.408,-1.3304,-1.4412,-2.249,-1.5981,-1.0443
-1.351,-1.9209,-1.939,-1.7895,-0.77348,-0.67312,-1.0724,-1.2468,-1.1096
-0.41478,0.48747,0.47785,0.62318,-0.57984,-0.26545,-0.37331,-0.35554,-1.9428
-0.57079,-0.45769,-0.37131,-0.43176,-0.072362,1.4018,0.18327,-0.39142,-0.37489
1.0729,1.2707,1.6795,1.4706,0.7825,1.3519,0.72318,-0.091706,0.18967
-0.88062,1.6903,1.2051,1.7695,0.22765,0.42453,0.84978,0.40858,0.020316
1.9138,1.4354,1.1999,1.4715,1.3565,0.98057,2.676,2.3197,2.4315
-0.72801,-1.1885,-1.0369,-0.79252,-0.057662,-1.2579,0.28972,0.67316,0.45644
-1.0782,-0.3822,-0.35783,-0.099229,-0.89753,-0.051791,-0.17728,-0.59772,0.47224
0.90698,1.0296,1.0793,0.72354,-0.43458,0.070043,0.23672,-0.50675,0.10494
-0.63372,-1.1297,-1.0265,-0.77613,0.25565,-0.072522,-1.3901,-1.489,-0.37099
1.4164,-0.13229,0.89467,0.61551,1.1103,0.99962,-0.61882,-0.23689,-0.39256
-0.98739,-1.0701,-0.99474,-0.98522,-0.34695,-1.1112,-1.0065,-0.64201,-0.017163
0.51979,-0.22598,0.24256,0.18256,-0.29115,-0.57012,-1.0344,-0.15536,0.047823
-0.66325,-0.66185,-0.86543,-0.22338,-0.72794,-1.5938,0.61504,0.66202,0.37995
0.84366,1.9592,1.9724,1.7359,0.64996,0.053969,1.0572,0.15367,0.91886
-0.41836,1.6349,1.5543,1.7608,-0.22521,0.26585,0.95611,0.90986,0.82001
1.0617,-0.99,-0.78371,-1.0066,0.74882,1.218,1.4391,0.74961,0.51717
-0.87568,-1.1197,-1.2594,-0.82484,0.27696,0.67926,0.57916,0.019004,0.6963
1.34,0.30218,-0.16172,0.36147,0.3024,0.16037,1.3939,1.468,1.9897
0.2543,-0.68526,-1.4934,-0.75972,0.85536,1.0042,1.2539,0.89285,1.5149
1.6915,-1.4079,-1.4185,-1.7642,0.38525,0.18602,-0.096361,2.865,0.7843
